Wall time,Step,Value
1756375617.5955925,37500,-18545.85546875
1756375689.8199673,75000,-20533.494140625
1756375793.1809545,112500,-16733.404296875
1756375918.2268384,150000,-14674.44921875
1756376086.5054379,187500,-12923.353515625
1756376304.773175,225000,-9339.2294921875
1756376529.453398,262500,-8934.908203125
1756376754.2719374,300000,-9469.3017578125
1756376969.50701,337500,-9095.5986328125
1756377183.739572,375000,-7314.755859375
1756377340.0375304,412500,-6758.94775390625
1756377565.376751,450000,-4992.89404296875
1756377785.5587056,487500,-3859.016845703125
1756378003.0402422,525000,-5987.65380859375
1756378226.7471442,562500,-6349.32568359375
1756378443.889371,600000,-7468.185546875
1756378667.2190423,637500,-7531.36083984375
1756378890.8376608,675000,-6087.01611328125
1756379107.2564752,712500,-3777.11474609375
1756379329.8080733,750000,-1654.509521484375
1756379546.7631507,787500,-1109.028564453125
1756379772.6590862,825000,-993.1979370117188
1756380000.3861675,862500,-2728.786376953125
1756380217.0916557,900000,-1932.9239501953125
1756380442.34264,937500,-1160.7979736328125
1756380662.0136545,975000,821.730224609375
1756380880.0824518,1012500,3005.95166015625
1756381109.8075883,1050000,3015.384765625
1756381326.5406349,1087500,3514.197021484375
1756381553.5712538,1125000,3607.642578125
1756381775.9786608,1162500,3426.349853515625
1756381991.3415363,1200000,3535.830322265625
1756382222.4953694,1237500,929.5787963867188
1756382439.7142017,1275000,-46.57290267944336
1756382662.9428685,1312500,-228.8214111328125
1756382888.0295525,1350000,51.14145278930664
1756383103.1304734,1387500,2578.05908203125
1756383326.2033374,1425000,2309.1220703125
1756383496.963348,1462500,1400.4119873046875
1756383647.1163929,1500000,-1515.6265869140625
1756383830.4269145,1537500,-560.0365600585938
1756384021.5739574,1575000,105.12528228759766
1756384177.0754619,1612500,-3785.424560546875
1756384382.939575,1650000,-4703.44873046875
1756384579.026603,1687500,-9695.5546875
1756384769.032729,1725000,-12324.2265625
1756384965.0683053,1762500,-7628.1337890625
1756385134.8635728,1800000,-3518.60595703125
1756385295.2028637,1837500,607.4102172851562
1756385445.7942061,1875000,1651.4443359375
1756385583.0717137,1912500,2772.459228515625
1756385734.848234,1950000,684.9728393554688
1756385882.4930513,1987500,1913.8660888671875
1756385991.7663224,2025000,2491.17919921875
1756386130.7540731,2062500,-3898.79150390625
1756386279.889089,2100000,-6868.37158203125
1756386472.2461154,2137500,-8363.13671875
1756386655.9399006,2175000,-7669.68310546875
1756386872.1448832,2212500,-1396.9757080078125
1756387061.5938697,2250000,3584.099853515625
1756387260.9005113,2287500,4842.32080078125
1756387451.0852907,2325000,4430.45751953125
1756387650.1273837,2362500,1546.6182861328125
1756387833.8400521,2400000,-554.5667724609375
1756388029.1205692,2437500,-3445.650634765625
1756388215.522656,2475000,-4515.86279296875
