theta1,theta2
0.0,0.0
0.00561738,6.2765026
0.02215004,6.256961
0.049317837,6.2249155
0.087031364,6.1805077
0.13520932,6.1239076
0.19373322,6.0553923
0.26238704,5.9754486
0.3408575,5.884797
0.4287727,5.784371
0.52572083,5.6753035
0.6313169,5.5588546
0.7451215,5.436491
0.86658716,5.309906
0.9951153,5.1809006
1.1299512,5.0514116
1.2707485,4.9228907
1.4180095,4.795949
1.5721133,4.671337
1.7328742,4.5502343
1.8990346,4.4344616
2.0682483,4.326215
2.2372608,4.2277303
2.4036527,4.140049
2.5627775,4.0652575
2.7096398,4.0050745
2.843619,3.9583092
2.9653795,3.9232342
3.076908,3.89763
3.1810308,3.879096
3.2785244,3.8666866
3.369721,3.859793
3.4553792,3.8576431
3.5353227,3.8596725
3.6103628,3.864887
3.6815603,3.8724866
3.7491016,3.882229
3.8131254,3.893917
3.8739452,3.907268
3.9317384,3.9220986
3.9857986,3.9387684
4.035244,3.957731
4.0794444,3.9792933
4.1177053,4.0038066
4.149675,4.031428
4.17513,4.062255
4.193902,4.0963798
4.205723,4.1339912
4.210325,4.175313
4.2075186,4.2205606
4.1976194,4.269646
4.1427,4.3501573
4.04793,4.4607363
3.9563549,4.5707264
3.8677154,4.680098
3.7817428,4.7888303
3.698165,4.8969173
3.6167085,5.0043697
3.5371008,5.1112175
3.4590712,5.217511
3.382352,5.32332
3.3066788,5.428732
3.2317898,5.5338526
3.157427,5.6388
3.0833352,5.743704
3.009262,5.8487005
2.9349587,5.953928
2.8601792,6.059521
2.7846818,6.1656075
2.7082286,6.272299
2.6305866,0.096502304
2.5515275,0.20465398
2.4708295,0.31360292
2.3882766,0.42334557
2.3036604,0.53383756
2.21678,0.6449897
2.1274433,0.7566664
2.035468,0.86868453
1.940684,0.98081374
1.842934,1.0927796
1.7420784,1.2042662
1.6379983,1.3149217
1.5306009,1.424365
1.4198254,1.5321935
1.3056501,1.6379923
1.1880993,1.7413446
1.06725,1.8418429
0.943238,1.9390996
0.8162625,2.0327568
0.6865876,2.1224968
0.5545416,2.2080474
0.4205134,2.2891862
0.28494453,2.365743
0.14832044,2.437597
0.011157036,2.5046742
6.157174,2.5669403
6.020539,2.6243954
5.884964,2.6770654
5.750954,2.7249966
5.61898,2.7682488
5.489469,2.8068917
5.3627987,2.8410003
5.2392926,2.870654
5.119218,2.8959348
5.0027843,2.916927
4.890147,2.9337182
4.7814107,2.9463992
4.6766305,2.955066
4.575819,2.9598205
4.4789495,2.9607782
4.385901,2.958528
4.296553,2.9534345
4.2107935,2.9456296
4.128491,2.9352512
4.0494986,2.9224432
3.9736574,2.9073546
3.900799,2.8901398
3.830749,2.8709564
3.763328,2.849965
3.6983538,2.8273284
3.6356428,2.80321
3.575011,2.7777739
3.5162747,2.7511835
3.4592512,2.7236013
3.4037588,2.695188
3.3496175,2.6661022
3.2966487,2.6365
3.2446756,2.6065342
3.1935225,2.5763545
3.1430151,2.5461068
3.0929806,2.515933
3.043247,2.4859705
2.9936426,2.4563522
2.943997,2.4272058
2.8941393,2.3986537
2.8439,2.370813
2.7931092,2.3437936
2.7415974,2.3177
2.6891954,2.292628
2.6357346,2.2686663
2.5810466,2.245894
2.5249648,2.224381
2.4673238,2.2041857
2.407961,2.1853552
2.346716,2.1679225
2.2834334,2.1519058
2.2179632,2.1373072
2.1501625,2.12411
2.0798965,2.112278
2.0070417,2.1017528
1.9314878,2.0924523
1.85314,2.084268
1.777713,2.0731807
1.7109332,2.0554802
1.6527495,2.031445
1.6031212,2.0012827
1.5620134,1.9651358
1.5293939,1.9230871
1.5052296,1.8751613
1.4894843,1.8213259
1.482118,1.7614905
1.4829799,1.6955907
1.4918053,1.6235955
1.5085441,1.5452453
1.5331515,1.4602183
1.5655851,1.3681357
1.6057863,1.2685857
1.6534514,1.1613604
1.7056184,1.0489712
1.7554322,0.93831587
1.8033528,0.828995
1.8495954,0.7209344
1.8945245,0.6137688
1.9381472,0.5076051
1.9808729,0.40198827
2.0225258,0.2972083
2.0634634,0.19285369
2.1035197,0.08918142
2.1428967,6.269151
2.1776726,6.1711645
2.1979544,6.090336
2.2044387,6.0257225
2.2011385,5.9724126
2.1977682,5.91875
2.1942124,5.86483
2.1904013,5.8107543
2.187127,5.7555513
2.1837237,5.700027
2.1804674,5.6438265
2.1771994,5.5871673
2.173862,5.5300803
2.1705053,5.472557
2.1670935,5.4146013
2.1635334,5.356374
2.1602488,5.297388
2.1566586,5.2383237
2.1535282,5.1783686
2.1494255,5.119038
2.145673,5.059016
2.142386,4.9982285
2.139621,4.936664
2.1374488,4.874305
2.1360059,4.8110785
2.135396,4.74695
2.135522,4.682067
2.13626,4.6166
2.1377273,4.550516
2.1399412,4.483868
2.1428115,4.416797
2.1463623,4.3493547
2.1506908,4.2815394
2.1558208,4.2134075
2.161711,4.1450605
2.1683004,4.076611
2.1755447,4.008157
2.1834078,3.9397879
2.1919494,3.871532
2.2014608,3.8032799
2.2122872,3.7348979
2.2246175,3.6663482
2.2385583,3.5976403
2.254179,3.528801
2.2714834,3.4598882
2.2904115,3.3909857
2.3108275,3.3222084
2.332382,3.2537713
2.3551116,3.1856828
2.3795204,3.1177075
2.4060314,3.0496442
2.435213,2.981206
2.4671156,2.9123542
2.5010376,2.843425
2.5358934,2.7749567
2.5703561,2.7076335
2.603349,2.6420386
2.6342473,2.5785406
2.6629226,2.517253
2.68948,2.4581637
2.7140179,2.4012654
2.7367988,2.346449
2.7586992,2.2932167
2.780363,2.2411883
2.8012586,2.190717
2.8206918,2.1422818
2.8385687,2.0959845
2.8550222,2.051774
2.870143,2.0096226
2.8838766,1.9696018
2.895962,1.9319327
2.9062202,1.8967812
2.9148145,1.8640586
2.9216254,1.8338852
2.9260945,1.806716
2.9276001,1.7830623
2.926084,1.7629938
2.9217796,1.7463424
2.9149005,1.7329434
2.9058537,1.7224684
2.895128,1.7145168
2.8833258,1.7085929
2.870925,1.7043016
2.8582172,1.7013986
2.8453665,1.6997429
2.8324575,1.6992464
2.8196387,1.6994727
2.8070574,1.700013
2.7947624,1.7007989
2.782787,1.7017944
2.771161,1.7029722
2.7599695,1.7042613
2.749237,1.7056425
2.7388744,1.7071879
2.7288394,1.7089306
2.7191107,1.710887
2.709674,1.7130678
2.700517,1.7154819
2.691629,1.7181373
2.6829996,1.7210418
2.674619,1.724203
2.6664774,1.7276282
2.6585655,1.7313249
2.6508741,1.7353002
2.6433942,1.7395611
2.6361172,1.7441145
2.6289444,1.7490394
2.62193,1.7542921
2.6149483,1.7599722
2.608094,1.7660044
2.6013103,1.7724339
2.5946584,1.7792121
2.5880382,1.7864186
2.5815299,1.7939907
2.57507,1.8019786
2.5687463,1.8103145
2.5624375,1.8190937
2.556407,1.828114
2.5501597,1.8377571
2.5441093,1.8477072
2.5380087,1.858153
2.5320797,1.868929
2.526126,1.8801832
2.5201566,1.8919125
2.5145705,1.9038179
2.5092187,1.916017
2.5035992,1.9288802
2.4978478,1.9423112
2.4924104,1.9559813
2.4871473,1.97
2.481536,1.9847425
2.475652,2.0001583
2.4706035,2.0154552
2.465983,2.0309331
2.4603326,2.0476143
2.4539835,2.0652678
2.4495997,2.0820465
2.4442277,2.0999901
2.4383447,2.1187735
2.4341087,2.1369352
2.4292488,2.1560082
2.4243245,2.1756225
2.4199014,2.1954021
2.4157884,2.2154813
2.4114823,2.2361841
2.4067936,2.257636
2.4026835,2.2792215
2.398258,2.3015084
2.3932106,2.3246853
2.3874457,2.3488057
2.3809686,2.3738592
2.374126,2.3996298
2.3671541,2.425971
2.360007,2.4529083
2.3527083,2.4804242
2.345231,2.5085316
2.3374586,2.537293
2.3293228,2.5667424
2.3208017,2.5968857
2.3117461,2.6277993
2.302083,2.6595154
2.2919343,2.6919582
2.281283,2.7251284
2.2700543,2.7590575
2.258271,2.7937245
2.2458189,2.82918
