theta1,theta2
0.0,0.0
0.005616665,6.2765036
0.022328377,6.2567453
0.050048113,6.2240324
0.08865023,6.1785526
0.13792467,6.120635
0.19767928,6.050655
0.2677436,5.969056
0.34788156,5.876489
0.43780684,5.773818
0.5371988,5.6621194
0.64571285,5.5426755
0.76300144,5.4169397
0.88874483,5.286476
1.0226696,5.152906
1.164557,5.017853
1.3142577,4.8828807
1.4716951,4.749446
1.6368488,4.6188707
1.8096266,4.4924035
1.9885652,4.3721037
2.1678405,4.2625356
2.3421578,4.166636
2.509753,4.0842733
2.6689951,4.01509
2.8191564,3.9581566
2.960068,3.9123404
3.091323,3.8768156
3.2127469,3.8507566
3.3247287,3.8331592
3.4279265,3.8230138
3.5227551,3.8195803
3.6090248,3.822304
3.686506,3.830532
3.7552667,3.8439188
3.8154168,3.8621504
3.8670046,3.8849978
3.9102535,3.9121714
3.9456334,3.9432778
3.9737005,3.9779105
3.9949133,4.015755
4.009773,4.056497
4.018598,4.0999618
4.0211806,4.146342
4.01668,4.196289
4.0040684,4.2506475
3.9830322,4.3098516
3.9535644,4.374194
3.9156852,4.4440184
3.8697183,4.5195026
3.817683,4.5994945
3.762646,4.6818323
3.7073014,4.764399
3.652967,4.8460517
3.599555,4.9268107
3.5470915,5.006592
3.4958208,5.0850925
3.4458976,5.162079
3.3973467,5.237438
3.3502765,5.3109703
3.3047795,5.38249
3.2611043,5.45164
3.2196949,5.5178413
3.1808,5.580719
3.144206,5.640426
3.1096897,5.6971464
3.0771868,5.7508993
3.0464032,5.8019824
3.0170393,5.850715
2.9890766,5.8970976
2.9626133,5.9409957
2.9376078,5.9824457
2.9139628,6.021553
2.89155,6.058466
2.8713405,6.0920134
2.8554897,6.1195946
2.8466802,6.137968
2.8469024,6.1447306
2.8517835,6.1451893
2.857073,6.144725
2.8629007,6.1435738
2.868823,6.142288
2.8745983,6.141163
2.8801425,6.140299
2.885425,6.1397266
2.8904445,6.1394296
2.8952456,6.1393013
2.8999414,6.13916
2.904603,6.1389647
2.9092083,6.138763
2.9137192,6.1385956
2.918137,6.138447
2.9224834,6.1382914
2.9267664,6.138129
2.9309785,6.137973
2.9351156,6.137825
2.9391823,6.137679
2.943183,6.137533
2.947118,6.137389
2.9509866,6.137249
2.95479,6.1371117
2.9585304,6.136976
2.962209,6.136842
2.965826,6.13671
2.9693828,6.1365805
2.9728804,6.1364527
2.9763234,6.1363235
2.9797308,6.136178
2.9831095,6.1360235
2.9864423,6.1358814
2.9897237,6.135751
2.992963,6.135618
2.9961662,6.135483
2.999329,6.135352
3.0024488,6.1352267
3.0055282,6.1351023
3.0085766,6.1349726
3.0116186,6.13482
3.0146608,6.134654
3.0176806,6.134504
3.0206676,6.134371
3.023633,6.134237
3.0265868,6.134097
3.029524,6.133961
3.032438,6.133834
3.0353303,6.1337094
3.0382056,6.1335845
3.0410638,6.133462
3.043902,6.1333437
3.0467205,6.133228
3.0495212,6.133113
3.052304,6.1330004
3.0550683,6.1328907
3.0578141,6.132783
3.060542,6.132677
3.0632522,6.132573
3.0659444,6.1324716
3.0686188,6.132372
3.0712757,6.1322737
3.073915,6.1321774
3.076537,6.132083
3.0791416,6.1319904
3.0817292,6.1318994
3.0842996,6.13181
3.086853,6.1317225
3.0893898,6.1316366
3.0919096,6.1315517
3.0944128,6.131469
3.0968995,6.1313868
3.0993698,6.1313066
3.1018121,6.131238
3.104228,6.131166
3.10662,6.131098
3.1089876,6.131029
3.1113312,6.1309624
3.1136513,6.1308966
3.115948,6.1308317
3.1182215,6.130768
3.1204724,6.130705
3.1227007,6.130643
3.1249065,6.130582
3.1270902,6.130522
3.129252,6.130463
3.1313918,6.1304054
3.13351,6.130348
3.1356072,6.130292
3.1376832,6.1302366
3.1397383,6.1301823
3.1417727,6.130129
3.1437867,6.1300764
3.1457803,6.130025
3.147754,6.1299734
3.1497078,6.129923
3.151642,6.1298733
3.1535568,6.1298246
3.1554525,6.129776
3.1573288,6.1297293
3.1591866,6.1296825
3.1610255,6.1296372
3.1628463,6.129591
3.1646483,6.1295476
3.1664333,6.1295023
3.1681988,6.1294613
3.1699493,6.129415
3.1716785,6.1293783
3.1733966,6.1293283
3.1750896,6.129299
3.1767788,6.12924
3.1784377,6.1292214
3.1800954,6.129154
3.1817245,6.1291385
3.1833465,6.129075
3.1849418,6.12906
3.186532,6.128997
3.1880941,6.128984
3.1896517,6.128922
3.1911826,6.12891
3.1927087,6.12885
3.1942077,6.12884
3.195703,6.1287804
3.1971717,6.128772
3.155931,6.1801076
3.0721767,6.2824626
2.988476,0.10111904
2.904546,0.20255423
2.8201058,0.30368257
2.734877,0.4045906
2.6485853,0.5053458
2.5609603,0.60598993
2.4717371,0.7065344
2.3806581,0.8069556
2.287474,0.9071915
2.1919456,1.007139
2.0938463,1.1066518
1.9929664,1.205541
1.8891153,1.3035755
1.7821269,1.4004842
1.6718651,1.4959607
1.5582299,1.5896674
1.4411644,1.6812428
1.3206605,1.770309
1.1967672,1.8564801
1.0695951,1.9393717
0.9393208,2.0186086
0.80618906,2.0938334
0.67051315,2.1647131
0.53267074,2.2309437
0.39309788,2.292253
0.2522812,2.348402
0.11074543,2.3991835
6.2522273,2.444421
6.110919,2.4839654
5.9705667,2.5176916
5.8317175,2.5454967
5.694891,2.5672967
5.560571,2.5830264
5.429197,2.5926375
5.3011575,2.5961013
5.176753,2.5936687
5.056196,2.5858207
4.9397097,2.5725906
4.827468,2.5540328
4.719598,2.5302248
4.616185,2.501267
4.5172777,2.4672809
4.422891,2.4284084
4.3330135,2.3848102
4.2476087,2.336663
4.1666203,2.2841575
4.089976,2.2274957
4.017588,2.1668878
3.9493577,2.1025505
3.8851743,2.0347033
3.824918,1.9635664
3.7684605,1.889359
3.7156658,1.8122963
3.6663907,1.7325885
3.6204853,1.6504394
3.5777943,1.566045
