Wall time,Step,Value
1756211169.3775587,6950,-399.8963623046875
1756211176.7981513,12500,-491.8863525390625
1756211180.4691775,14750,-584.445068359375
1756211184.5519543,18275,-580.2432861328125
1756211191.6596081,24675,-402.49871826171875
1756211198.8864572,29925,-256.8541259765625
1756211207.9705052,37500,-61.9359130859375
1756211212.9969463,41575,-45.62540817260742
1756211232.8044677,54200,323.7043762207031
1756211235.814063,56850,372.1476745605469
1756211239.9790633,60675,473.7784423828125
1756211242.81146,63275,674.0018310546875
1756211245.0050712,65225,749.8494262695312
1756211247.4799979,67425,771.231689453125
1756211250.6268618,70300,746.6856079101562
1756211258.7494936,77525,924.0921630859375
1756211262.5581057,81000,1028.56494140625
1756211271.0538192,86725,1248.65234375
1756211277.3171988,91700,1372.3623046875
1756211281.5983055,95200,1446.259033203125
1756211284.6419811,98250,1604.5377197265625
1756211286.9190755,100400,1642.7080078125
1756211290.3606648,103250,1727.229736328125
1756211292.372513,105225,1767.0914306640625
1756211296.8560784,107375,1797.8609619140625
1756211299.4457345,109850,1815.19091796875
1756211301.4958591,111800,1791.5135498046875
1756211304.1244547,114300,1942.426513671875
1756211304.967963,115025,1865.579345703125
1756211306.9743843,116925,1869.93994140625
1756211307.984695,117825,1834.4677734375
1756211309.1800504,118950,1754.6572265625
1756211311.6280537,121150,1632.633056640625
1756211313.1020179,122475,1592.2916259765625
1756211318.2029681,126925,1467.2884521484375
1756211319.43408,128125,1468.869384765625
1756211321.855775,130300,1387.429443359375
1756211323.9736688,132150,1388.4639892578125
1756211328.7889366,134300,1348.218017578125
1756211333.3715448,136625,1265.2476806640625
1756211334.7735019,137875,1302.9599609375
1756211336.459753,139325,1182.937255859375
1756211338.3846006,141075,1223.503662109375
1756211342.593655,144975,1139.56494140625
1756211353.9293523,152250,1219.516845703125
1756211359.162726,154475,1257.9718017578125
1756211367.153513,157850,1212.142822265625
1756211368.529841,158400,1167.3426513671875
1756211372.0672898,160050,1207.865234375
1756211372.905482,160825,1168.5948486328125
1756211375.7193227,163300,1203.1888427734375
1756211378.5290947,164625,1245.95068359375
1756211381.9763043,166175,1165.58740234375
1756211385.3705804,167625,1206.7296142578125
1756211391.0631127,170050,1204.5555419921875
1756211396.690998,174775,1207.429443359375
1756211398.7721703,176825,1330.0015869140625
1756211400.9251869,177975,1373.273193359375
1756211405.872229,181950,1333.4697265625
1756211407.0301125,183050,1377.1058349609375
1756211409.0435598,184825,1293.7501220703125
1756211411.8772843,187600,1289.5157470703125
1756211415.0989788,190450,1250.53173828125
1756211428.7466552,195825,1333.187255859375
1756211434.1074855,197950,1292.5980224609375
1756211440.4262986,200400,1335.9989013671875
1756211445.3762121,202200,1334.867431640625
1756211449.3258872,203875,1335.22119140625
1756211453.1141398,205500,1333.7578125
1756211455.951346,206725,1421.3135986328125
1756211458.0351906,207625,1421.0570068359375
1756211460.9192142,208775,1380.3514404296875
1756211465.7080534,210700,1340.1868896484375
1756211471.066864,212825,1381.5128173828125
1756211483.1211193,217700,1416.6260986328125
1756211501.204187,225100,1452.68408203125
1756211506.3678129,227250,1532.2518310546875
1756211514.2924647,230700,1531.3250732421875
1756211531.8263354,237775,1394.4598388671875
1756211542.3645372,242025,1509.8681640625
1756211550.6622007,245775,1542.583740234375
1756211558.5301225,249350,1738.2366943359375
1756211575.4980702,251250,1694.6710205078125
1756211582.0576048,254250,1604.2142333984375
1756211585.7331557,255750,1640.89794921875
1756211587.1730177,256400,1561.475341796875
1756211591.2888536,258275,1556.169677734375
1756211601.539028,262775,1552.2637939453125
1756211606.1531446,264975,1508.1883544921875
1756211613.3145485,268000,1466.6849365234375
1756211625.8511136,273475,1588.3309326171875
1756211629.0251303,274875,1629.0263671875
1756211631.2488618,275875,1586.7015380859375
1756211633.4551957,276900,1545.7724609375
1756211637.5768335,278775,1504.2032470703125
1756211641.0942547,280300,1462.917724609375
1756211646.1202745,282600,1463.136474609375
1756211653.087812,285775,1501.46044921875
1756211657.4108677,287675,1505.4432373046875
1756211667.3189447,291750,1505.200439453125
1756211675.5940278,295375,1588.9049072265625
1756211680.1868222,297475,1532.263671875
1756211685.8135273,300100,1466.6279296875
1756211690.4487278,302275,1391.7529296875
1756211695.2161324,304500,1472.5362548828125
1756211708.8565655,310600,1479.1005859375
1756211714.918617,313300,1446.5401611328125
1756211719.5825691,315450,1447.2333984375
1756211725.9523945,318225,1573.80126953125
1756211731.7195761,320575,1584.9632568359375
1756211734.6918027,321675,1553.275146484375
1756211735.7786763,322125,1555.754638671875
1756211739.9387345,323900,1476.2969970703125
1756211741.1009312,324425,1480.9659423828125
1756211741.7204146,324675,1448.7984619140625
1756211747.821485,327300,1435.6114501953125
1756211748.6943693,327675,1407.7274169921875
1756211753.05508,329475,1368.16357421875
1756211753.3108072,329575,1371.82861328125
1756211754.8291028,330250,1299.59716796875
1756211757.2694569,331425,1279.0335693359375
1756211759.240488,332350,1087.4779052734375
