Wall time,Step,Value
1756337208.334126,37500,4864.94677734375
1756337336.8453534,75000,9827.3291015625
1756337538.3865862,112500,10714.2666015625
1756337727.1927314,150000,11220.765625
1756337819.2998507,187500,10303.455078125
1756338014.3482747,225000,9513.078125
1756338207.4719977,262500,7967.23388671875
1756338401.9129577,300000,8154.3486328125
1756338632.8258073,337500,10159.056640625
1756338853.0617075,375000,9520.1376953125
1756339084.1393676,412500,9316.8427734375
1756339312.0080566,450000,9925.875
1756339529.2818673,487500,8575.3876953125
1756339761.9933715,525000,7885.26025390625
1756339984.2318573,562500,10343.8046875
1756340205.1082172,600000,5474.8759765625
1756340434.9166698,637500,4412.39990234375
1756340652.3312948,675000,4070.71484375
1756340884.756277,712500,3702.248779296875
1756341110.3316336,750000,6566.7177734375
1756341328.3099012,787500,9839.3544921875
1756341558.869099,825000,11668.2802734375
1756341781.1067402,862500,11895.3017578125
1756342007.8736856,900000,13912.2255859375
1756342241.8883984,937500,14403.3544921875
1756342463.156334,975000,16148.9921875
1756342692.4928286,1012500,17083.779296875
1756342921.3590825,1050000,17360.38671875
1756343122.8832233,1087500,17983.634765625
1756343356.6672328,1125000,16722.71484375
1756343579.3415701,1162500,16130.69140625
1756343805.6279845,1200000,15416.775390625
1756344040.2542064,1237500,13418.9931640625
1756344260.2172477,1275000,14461.6904296875
1756344484.94091,1312500,14644.6572265625
1756344709.0498414,1350000,13451.375
1756344925.113189,1387500,14124.494140625
1756345157.35495,1425000,13648.4140625
1756345378.6749103,1462500,12061.3349609375
1756345602.1506429,1500000,13881.806640625
1756345834.696467,1537500,15490.7529296875
1756346054.3415034,1575000,15363.3828125
1756346267.2715077,1612500,17483.92578125
1756346488.0305574,1650000,17417.064453125
1756346705.2896192,1687500,17745.806640625
1756346934.4657369,1725000,18125.47265625
1756347154.885016,1762500,17357.251953125
1756347378.5451462,1800000,17268.279296875
1756347593.1313252,1837500,16697.859375
1756347808.4731717,1875000,15743.501953125
1756348038.7007968,1912500,13404.2119140625
1756348258.4849596,1950000,13593.80859375
1756348477.1345515,1987500,12728.3662109375
1756348705.385903,2025000,14153.4375
1756348922.330749,2062500,16655.908203125
1756349143.8212142,2100000,15435.0595703125
1756349365.331615,2137500,12199.4580078125
1756349579.2156436,2175000,11211.435546875
1756349806.718491,2212500,11142.9345703125
1756350014.9911869,2250000,12046.375
1756350227.2155232,2287500,15915.6474609375
1756350449.088432,2325000,14555.9609375
1756350666.7873518,2362500,13182.3603515625
1756350895.624131,2400000,13423.638671875
1756351114.031528,2437500,13358.5634765625
1756351337.9521296,2475000,14940.29296875
