theta1,theta2
0.0,0.0
0.005616665,6.2765036
0.022328377,6.2567453
0.050048113,6.2240324
0.08865023,6.1785526
0.13792467,6.120635
0.19767928,6.050655
0.2677436,5.969056
0.34788156,5.876489
0.43780684,5.773818
0.5371988,5.6621194
0.64571285,5.5426755
0.76300144,5.4169397
0.88874483,5.286476
1.0226696,5.152906
1.164557,5.017853
1.3142577,4.8828807
1.4716951,4.749446
1.6368488,4.6188707
1.8096266,4.4924035
1.9885652,4.3721037
2.1678405,4.2625356
2.3421578,4.166636
2.509753,4.0842733
2.6689951,4.01509
2.8191564,3.9581566
2.960068,3.9123404
3.091323,3.8768156
3.2127469,3.8507566
3.3247287,3.8331592
3.4279265,3.8230138
3.5227551,3.8195803
3.6090248,3.822304
3.686506,3.830532
3.7552667,3.8439188
3.8154168,3.8621504
3.8670046,3.8849978
3.9102535,3.9121714
3.9456334,3.9432778
3.9737005,3.9779105
3.9949133,4.015755
4.009773,4.056497
4.018598,4.0999618
4.0211806,4.146342
4.01668,4.196289
4.0040684,4.2506475
3.9830322,4.3098516
3.9535644,4.374194
3.9156852,4.4440184
3.8697183,4.5195026
3.817683,4.5994945
3.7219915,4.716311
3.5860076,4.8714147
3.4519095,5.0299883
3.3191586,5.1920786
3.1872191,5.3576927
3.0555716,5.526779
2.923723,5.6992025
2.7912166,5.8747177
2.6576393,6.052943
2.522624,6.233344
2.3858488,0.13204432
2.2470307,0.3145821
2.1059175,0.49682665
1.9622772,0.67775893
1.8158933,0.8563287
1.6665646,1.0314951
1.5141132,1.2022593
1.3584003,1.3676913
1.1993468,1.5269523
1.0369565,1.6793138
0.8713374,1.8241762
0.70271564,1.9610844
0.5314424,2.0897384
0.35798812,2.2099972
0.18292761,2.3218734
0.006914854,2.4255185
6.113838,2.5212007
5.9380465,2.60928
5.763427,2.69018
5.5906363,2.764363
5.4202623,2.8323083
5.2528057,2.8944967
5.0886683,2.9513993
4.9281473,3.0034711
4.7714343,3.051149
4.6186185,3.0948524
4.469694,3.1349862
4.324567,3.1719432
4.183066,3.2061088
4.0449524,3.237865
3.9099302,3.2675931
3.7776566,3.2956777
3.64775,3.3225088
3.5197988,3.3484845
3.39337,3.3740122
3.2680144,3.399511
3.143275,3.4254131
3.018691,3.452165
2.8938055,3.480229
2.76817,3.5100853
2.6413522,3.5422337
2.5129404,3.577195
2.3825526,3.6155128
2.2498434,3.6577566
2.114512,3.7045212
1.9763113,3.7564282
1.835057,3.8141255
1.6906352,3.8782833
1.54301,3.9495883
1.392229,4.0287337
1.2384244,4.116402
1.0818114,4.213244
0.92268133,4.319847
0.761389,4.436701
0.5983374,4.5641503
0.43395972,4.70235
0.2687037,4.851212
0.103019476,5.0103536
6.220541,5.1790533
6.055349,5.3562126
5.8910913,5.540343
5.728253,5.7295837
5.567339,5.921773
5.4088626,6.1145678
5.253315,0.022427082
5.1011267,0.20953894
4.952634,0.3908639
4.808057,0.56497693
4.6674943,0.73091125
4.5309334,0.8881304
4.3982677,1.0364609
4.269318,1.1760126
4.1438503,1.3071009
4.02159,1.4301795
3.9022348,1.5457872
3.785459,1.6545082
3.6709213,1.7569435
3.558267,1.853691
3.4471312,1.9453329
3.3371396,2.032428
3.2279124,2.1155074
3.1190648,2.1950724
3.01021,2.271596
2.9009616,2.345523
2.7909362,2.417274
2.679757,2.4872468
2.5670576,2.5558217
2.452486,2.6233647
2.3357096,2.6902318
2.2164214,2.7567742
2.0943456,2.8233423
1.9752495,2.8872015
1.8649747,2.9457939
1.7634171,2.999619
1.6705115,3.0490417
1.5862248,3.094316
1.5105485,3.1356075
1.4434884,3.1730132
1.3850464,3.206586
1.3351455,3.2363834
1.2935847,3.2625039
1.2602574,3.2849836
1.235192,3.3037837
1.2183632,3.318892
1.2097881,3.3302798
1.2095453,3.337895
1.2174804,3.3418167
1.2335457,3.3421059
1.2575811,3.339313
1.2892734,3.333837
1.3283192,3.3258724
1.3743944,3.3156254
1.4275173,3.3031266
1.4883429,3.2880807
1.5573112,3.2703013
1.6343632,3.2498472
1.7189187,3.227022
1.8031306,3.2057824
1.8807414,3.1892211
1.951523,3.1773775
2.0134482,3.1712189
2.0645287,3.1715055
2.1067076,3.1767623
2.1452549,3.1842623
2.181463,3.1933272
2.2110353,3.206113
2.2357202,3.2217028
2.2599373,3.2378304
2.282847,3.2549005
2.3045387,3.2728436
2.3252099,3.2915351
2.3449993,3.3108792
2.3640296,3.330788
2.3824015,3.3511832
2.400199,3.3719952
2.4174225,3.3931963
2.434087,3.4147513
2.450251,3.4366012
2.4659543,3.4586966
2.4812381,3.480987
2.496132,3.5034277
2.5106654,3.5259736
2.5248601,3.5485833
2.538735,3.5712173
2.5523033,3.5938387
2.5655854,3.6164064
2.5787973,3.6387734
2.5920548,3.6608477
2.6052804,3.6826425
2.6184645,3.7041345
2.6315894,3.7253046
2.6447968,3.7460446
2.658214,3.766255
2.6726084,3.7854688
2.6890943,3.8030226
2.7080898,3.818656
2.7303762,3.8319
2.7573986,3.8419104
2.790692,3.8478136
2.8297133,3.8499944
2.8745506,3.8486927
2.927436,3.8431463
2.9888303,3.8332653
3.0594316,3.8188524
3.14061,3.7993937
3.2327878,3.7749937
3.3363786,3.7458057
3.4519813,3.7119162
3.579065,3.6740582
3.7072203,3.6382139
3.8303564,3.6073658
3.9488075,3.5809612
4.05903,3.5605054
4.1603527,3.545954
4.252756,3.5369759
4.3365164,3.5331535
4.411667,3.5340312
4.478354,3.5389125
4.5368013,3.547537
4.587175,3.5597124
4.6296625,3.5752594
4.6649394,3.59376
4.6930704,3.6151485
4.7132382,3.6398501
4.725976,3.6675694
4.736598,3.69538
4.745398,3.7231588
4.74973,3.7524061
4.7511334,3.7822819
4.750221,3.8124642
4.7474456,3.842722
4.7423487,3.8733573
4.7346244,3.9045897
4.7246294,3.9362457
